country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Uzbekistan,Electricity - exports,1997,"Kilowatt-hours, million",11489,,total_electricity
Uzbekistan,Electricity - exports,1998,"Kilowatt-hours, million",11302,,total_electricity
Uzbekistan,Electricity - exports,1999,"Kilowatt-hours, million",11114,,total_electricity
Uzbekistan,Electricity - exports,2000,"Kilowatt-hours, million",12745,,total_electricity
Uzbekistan,Electricity - exports,2001,"Kilowatt-hours, million",12959,,total_electricity
Uzbekistan,Electricity - exports,2002,"Kilowatt-hours, million",11527,,total_electricity
Uzbekistan,Electricity - exports,2003,"Kilowatt-hours, million",11548,,total_electricity
Uzbekistan,Electricity - exports,2004,"Kilowatt-hours, million",11688,,total_electricity
Uzbekistan,Electricity - exports,2005,"Kilowatt-hours, million",11501,,total_electricity
Uzbekistan,Electricity - exports,2006,"Kilowatt-hours, million",11903,,total_electricity
Uzbekistan,Electricity - exports,2007,"Kilowatt-hours, million",11442,,total_electricity
Uzbekistan,Electricity - exports,2008,"Kilowatt-hours, million",11547,,total_electricity
Uzbekistan,Electricity - exports,2009,"Kilowatt-hours, million",11831,,total_electricity
Uzbekistan,Electricity - exports,2010,"Kilowatt-hours, million",12245,,total_electricity
Uzbekistan,Electricity - exports,2011,"Kilowatt-hours, million",12411,,total_electricity
Uzbekistan,Electricity - exports,2012,"Kilowatt-hours, million",12435,,total_electricity
Uzbekistan,Electricity - exports,2013,"Kilowatt-hours, million",12838,,total_electricity
Uzbekistan,Electricity - exports,2014,"Kilowatt-hours, million",13122,,total_electricity
USSR (former),Electricity - exports,1990,"Kilowatt-hours, million",36292,,total_electricity
USSR (former),Electricity - exports,1991,"Kilowatt-hours, million",19406,,total_electricity
Uruguay,Electricity - exports,1990,"Kilowatt-hours, million",2588,,total_electricity
Uruguay,Electricity - exports,1991,"Kilowatt-hours, million",1792,,total_electricity
Uruguay,Electricity - exports,1992,"Kilowatt-hours, million",3397,,total_electricity
Uruguay,Electricity - exports,1993,"Kilowatt-hours, million",2256,,total_electricity
Uruguay,Electricity - exports,1994,"Kilowatt-hours, million",1676,,total_electricity
Uruguay,Electricity - exports,1995,"Kilowatt-hours, million",233,,total_electricity
Uruguay,Electricity - exports,1996,"Kilowatt-hours, million",343,,total_electricity
Uruguay,Electricity - exports,1997,"Kilowatt-hours, million",415,,total_electricity
Uruguay,Electricity - exports,1998,"Kilowatt-hours, million",2234,,total_electricity
Uruguay,Electricity - exports,1999,"Kilowatt-hours, million",185,,total_electricity
Uruguay,Electricity - exports,2000,"Kilowatt-hours, million",942,,total_electricity
Uruguay,Electricity - exports,2001,"Kilowatt-hours, million",1377,,total_electricity
Uruguay,Electricity - exports,2002,"Kilowatt-hours, million",2287,,total_electricity
Uruguay,Electricity - exports,2003,"Kilowatt-hours, million",1138,,total_electricity
Uruguay,Electricity - exports,2004,"Kilowatt-hours, million",19,,total_electricity
Uruguay,Electricity - exports,2005,"Kilowatt-hours, million",841,,total_electricity
Uruguay,Electricity - exports,2006,"Kilowatt-hours, million",16,,total_electricity
Uruguay,Electricity - exports,2007,"Kilowatt-hours, million",995,,total_electricity
Uruguay,Electricity - exports,2008,"Kilowatt-hours, million",29.4,,total_electricity
Uruguay,Electricity - exports,2009,"Kilowatt-hours, million",242.8,,total_electricity
Uruguay,Electricity - exports,2010,"Kilowatt-hours, million",711,,total_electricity
Uruguay,Electricity - exports,2011,"Kilowatt-hours, million",19,,total_electricity
Uruguay,Electricity - exports,2012,"Kilowatt-hours, million",19.7,,total_electricity
Uruguay,Electricity - exports,2013,"Kilowatt-hours, million",206.4,,total_electricity
Uruguay,Electricity - exports,2014,"Kilowatt-hours, million",1266.5,,total_electricity
United States of America,Electricity - exports,1990,"Kilowatt-hours, million",20526,,total_electricity
United States of America,Electricity - exports,1991,"Kilowatt-hours, million",8540,,total_electricity
