country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Grenada,Renewable percentage,2014,Percentage,0.0,,total_electricity
Guadeloupe,Renewable percentage,2014,Percentage,13.6,,total_electricity
Haiti,Renewable percentage,2014,Percentage,8.71,,total_electricity
Iraq,Renewable percentage,2014,Percentage,4.33,,total_electricity
Kiribati,Renewable percentage,2014,Percentage,0.0,,total_electricity
Madagascar,Renewable percentage,2014,Percentage,53.33,,total_electricity
Mali,Renewable percentage,2014,Percentage,42.87,,total_electricity
Martinique,Renewable percentage,2014,Percentage,2.59,,total_electricity
Pacific Islands (former),Renewable percentage,2014,Percentage,0,,total_electricity
Palau,Renewable percentage,2014,Percentage,0.0,,total_electricity
St. Helena and Depend.,Renewable percentage,2014,Percentage,10.12,,total_electricity
St. Vincent-Grenadines,Renewable percentage,2014,Percentage,22.0,,total_electricity
Syrian Arab Republic,Renewable percentage,2014,Percentage,13.81,,total_electricity
Uganda,Renewable percentage,2014,Percentage,78.6,,total_electricity
Yemen,Renewable percentage,2014,Percentage,0.0,,total_electricity
"Yemen, Dem. (former)",Renewable percentage,2014,Percentage,0,,total_electricity
Burundi,Renewable percentage,2014,Percentage,80.72,,total_electricity
India,Renewable percentage,2014,Percentage,15.09,,total_electricity
Mauritius,Renewable percentage,2014,Percentage,4.04,,total_electricity
Mozambique,Renewable percentage,2014,Percentage,92.23,,total_electricity
Nigeria,Renewable percentage,2014,Percentage,17.59,,total_electricity
Réunion,Renewable percentage,2014,Percentage,23.71,,total_electricity
Rwanda,Renewable percentage,2014,Percentage,39.09,,total_electricity
Samoa,Renewable percentage,2014,Percentage,29.52,,total_electricity
Somalia,Renewable percentage,2014,Percentage,0.0,,total_electricity
St. Kitts-Nevis,Renewable percentage,2014,Percentage,4.09,,total_electricity
Viet Nam,Renewable percentage,2014,Percentage,42.39,,total_electricity
Belarus,Renewable percentage,2014,Percentage,0.38,,total_electricity
Cyprus,Renewable percentage,2014,Percentage,6.11,,total_electricity
Cabo Verde,Renewable percentage,2014,Percentage,17.29,,total_electricity
Albania,Renewable percentage,2014,Percentage,100.0,,total_electricity
Bahrain,Renewable percentage,2014,Percentage,0.0,,total_electricity
Bosnia and Herzegovina,Renewable percentage,2014,Percentage,36.73,,total_electricity
"China, Hong Kong SAR",Renewable percentage,2014,Percentage,0.0,,total_electricity
Czechoslovakia (former),Renewable percentage,2014,Percentage,0,,total_electricity
Angola,Renewable percentage,2014,Percentage,53.18,,total_electricity
Bermuda,Renewable percentage,2014,Percentage,0.0,,total_electricity
Bhutan,Renewable percentage,2014,Percentage,99.99,,total_electricity
Equatorial Guinea,Renewable percentage,2014,Percentage,44.87,,total_electricity
Lebanon,Renewable percentage,2014,Percentage,1.08,,total_electricity
Saudi Arabia,Renewable percentage,2014,Percentage,0.0,,total_electricity
St. Lucia,Renewable percentage,2014,Percentage,0.0,,total_electricity
St. Pierre-Miquelon,Renewable percentage,2014,Percentage,1.8,,total_electricity
State of Palestine,Renewable percentage,2014,Percentage,0.0,,total_electricity
Tajikistan,Renewable percentage,2014,Percentage,97.13,,total_electricity
German Dem. R. (former),Renewable percentage,2014,Percentage,0,,total_electricity
Anguilla,Renewable percentage,2014,Percentage,0.0,,total_electricity
Mongolia,Renewable percentage,2014,Percentage,0.0,,total_electricity
Montenegro,Renewable percentage,2014,Percentage,56.51,,total_electricity
Cambodia,Renewable percentage,2014,Percentage,60.64,,total_electricity
S. Sudan,Renewable percentage,2014,Percentage,0.41,,total_electricity
Sudan,Renewable percentage,2014,Percentage,78.35,,total_electricity
Andorra,Renewable percentage,2014,Percentage,89.43,,total_electricity
Aruba,Renewable percentage,2014,Percentage,15.1,,total_electricity
"Bonaire, St Eustatius, Saba",Renewable percentage,2014,Percentage,1.77,,total_electricity
British Virgin Islands,Renewable percentage,2014,Percentage,0.0,,total_electricity
Dominica,Renewable percentage,2014,Percentage,29.91,,total_electricity
Falkland Is. (Malvinas),Renewable percentage,2014,Percentage,32.24,,total_electricity
Gambia,Renewable percentage,2014,Percentage,0.0,,total_electricity
Gibraltar,Renewable percentage,2014,Percentage,0.0,,total_electricity
Qatar,Renewable percentage,2014,Percentage,0.0,,total_electricity
Sint Maarten (Dutch part),Renewable percentage,2014,Percentage,0.0,,total_electricity
Turkmenistan,Renewable percentage,2014,Percentage,0.0,,total_electricity
Turks and Caicos Islands,Renewable percentage,2014,Percentage,0.0,,total_electricity
Vanuatu,Renewable percentage,2014,Percentage,15.32,,total_electricity
Guinea-Bissau,Renewable percentage,2014,Percentage,0.0,,total_electricity
Micronesia (Fed. States of),Renewable percentage,2014,Percentage,2.88,,total_electricity
Timor-Leste,Renewable percentage,2014,Percentage,0.0,,total_electricity
Yemen Arab Rep. (former),Renewable percentage,2014,Percentage,0,,total_electricity
American Samoa,Renewable percentage,2014,Percentage,0.7,,total_electricity
Liechtenstein,Renewable percentage,2014,Percentage,93.81,,total_electricity
Puerto Rico,Renewable percentage,2014,Percentage,1.63,,total_electricity
